id,text,label,pred_label,proba_POS,proba_NEG,proba_NEU,confidence,margin
2336,ភ័យ,NEG,NEU,0.3533151924095134,0.35676953718578264,0.289915270404704,0.35676953718578264,0.0034543447762692137
1859,ពូកែកុហក,NEG,NEU,0.40083561527469186,0.40868270256490524,0.1904816821604029,0.40868270256490524,0.007847087290213384
2014,សៀវភៅល្បី,NEU,POS,0.13965650169566343,0.42090836344675836,0.4394351348575783,0.4394351348575783,0.01852677141081993
2332,ចងចាំ,POS,NEU,0.27774605264984775,0.37424645845954596,0.34800748889060634,0.37424645845954596,0.02623896956893962
2095,ថ្ងៃរះ,POS,NEU,0.20669362425093718,0.41173725388669075,0.3815691218623722,0.41173725388669075,0.03016813202431856
120,មតិយោបល់ទូទៅ គ្មានចំណាំពិសេស,NEU,NEG,0.38943441341512886,0.34974200945888645,0.2608235771259847,0.38943441341512886,0.039692403956242406
1049,កុំជឿគាត់គាត់ពូកែកុហកណាស់,NEG,NEU,0.3773626900372772,0.42202243905717113,0.20061487090555175,0.42202243905717113,0.044659749019893946
2195,សុខភាព,NEG,POS,0.3861405162349053,0.17556431805435493,0.43829516571073973,0.43829516571073973,0.052154649475834425
1419,ជួសជុលផ្លូវ,NEU,NEG,0.48219284773469756,0.4201734074390544,0.09763374482624797,0.48219284773469756,0.06201944029564316
1051,នាងជាសិស្សឧស្សាហ៍ព្យាយាម,POS,NEU,0.13208274846530554,0.47046936596634165,0.3974478855683528,0.47046936596634165,0.07302148039798884
1384,ម្ហូបមានអនាម័យ,POS,NEG,0.457649342445387,0.18399888943036863,0.35835176812424435,0.457649342445387,0.09929757432114267
122,ការដឹកជញ្ជូនសម្រួល តែអាចលឿនជាងនេះ,NEU,POS,0.33130612192623654,0.23214362907853525,0.43655024899522815,0.43655024899522815,0.10524412706899161
2420,គយគន់,POS,NEG,0.4436338410989002,0.30330130372202985,0.25306485517906996,0.4436338410989002,0.14033253737687035
1522,ទិញសម្លៀកបំពាក់,NEU,POS,0.1888637043486615,0.3226211963415021,0.4885150993098364,0.4885150993098364,0.16589390296833428
1291,នាងនិយាយទូរស័ព្ទ,NEU,NEG,0.5420361216904035,0.3533082996782551,0.10465557863134133,0.5420361216904035,0.18872782201214838
1027,ដំណឹងនេះធ្វើឱ្យខ្ញុំរីករាយយ៉ាងខ្លាំង,POS,NEG,0.5640384843205734,0.09466388494337591,0.34129763073605085,0.5640384843205734,0.2227408535845225
1967,វេជ្ជបណ្ឌិត,NEU,POS,0.1907591157396328,0.27486700303190476,0.5343738812284625,0.5343738812284625,0.25950687819655777
1118,ខ្ញុំចូលចិត្តស្តាប់ចម្រៀង,NEU,POS,0.24271160462048105,0.1843831383433283,0.5729052570361907,0.5729052570361907,0.33019365241570964
144,មិនពេញចិត្តពេក ក៏មិនខកចិត្ត,NEU,NEG,0.6089805933266973,0.13398447645446837,0.25703493021883433,0.6089805933266973,0.35194566310786296
77,ជម្រើសល្អសម្រាប់ប្រើប្រចាំថ្ងៃ,POS,NEU,0.13542892768762363,0.6299489028124583,0.23462216949991807,0.6299489028124583,0.3953267333125402
58,ទំនិញដូចពណ៌នា គ្មានខុសគ្នា,POS,NEG,0.711095354085787,0.20037238983423397,0.08853225607997908,0.711095354085787,0.510722964251553
